@relation jedit-5.1.0

@attribute PageRank numeric
@attribute CategoryLabel numeric

@data
0.000781,0
0.002523,0
0.001872,0
0.000747,0
0.002024,0
0.00071,0
0.001208,0
0.000653,0
0.001078,0
0.000781,0
0.000594,0
0.0006,0
0.00087,0
0.000572,0
0.000654,0
0.000578,0
0.000572,0
0.000572,0
0.002557,0
0.000723,0
0.000666,0
0.00091,0
0.000587,0
0.000684,0
0.000565,0
0.000922,0
0.000633,0
0.000601,0
0.00064,0
0.000565,0
0.000583,0
0.000964,0
0.000565,0
0.000565,0
0.003503,0
0.000565,0
0.000565,0
0.000707,0
0.000742,0
0.000565,0
0.000697,0
0.000565,0
0.001542,0
0.000568,0
0.00278,0
0.00063,0
0.00057,0
0.000565,0
0.000598,0
0.000591,0
0.000632,0
0.000568,0
0.0007,0
0.000565,0
0.00059,0
0.000565,0
0.000565,0
0.000565,0
0.000565,0
0.001161,0
0.00058,0
0.000572,0
0.000606,0
0.000567,0
0.009598,0
0.001673,0
0.000681,0
0.000563,0
0.000586,0
0.000912,0
0.000979,0
0.001086,0
0.000753,0
0.000973,0
0.000575,0
0.000944,0
0.000722,0
0.000563,0
0.001114,0
0.000614,0
0.000563,0
0.001273,0
0.000608,0
0.007363,0
0.000563,0
0.008717,0
0.005989,0
0.00107,0
0.001351,0
0.000563,0
0.002063,0
0.002073,0
0.002328,0
0.000793,0
0.014392,0
0.010207,0
0.002815,0
0.000569,0
0.000761,0
0.001241,0
0.001298,0
0.000566,0
0.000816,0
0.000839,0
0.002474,0
0.000571,0
0.000902,0
0.000817,0
0.001088,0
0.000585,0
0.000565,0
0.002681,0
0.000563,0
0.002747,0
0.001353,0
0.001194,0
0.000563,0
0.000632,0
0.017127,0
0.000946,0
0.001478,0
0.001867,0
0.003336,0
0.000734,0
0.001368,0
0.006976,0
0.000874,0
0.002148,0
0.000563,0
0.000569,0
0.002602,0
0.003079,0
0.000806,0
0.00296,0
0.000578,0
0.001042,0
0.000568,0
0.006797,0
0.004152,0
0.000568,0
0.038079,0
0.002354,0
0.007756,0
0.001462,0
0.002551,0
0.015638,1
0.000994,0
0.000603,0
0.000648,0
0.000893,0
0.000648,0
0.000648,0
0.000578,0
0.000603,0
0.001931,0
0.000563,0
0.00107,0
0.002006,0
0.000563,0
0.001128,0
0.000698,0
0.001196,0
0.000563,0
0.000563,0
0.000631,0
0.000563,0
0.000795,0
0.000563,0
0.038658,0
0.042468,1
0.000563,0
0.001628,0
0.003989,0
0.008477,1
0.002112,0
0.000931,0
0.00112,0
0.000563,0
0.000946,0
0.000891,0
0.000581,0
0.000563,0
0.000591,0
0.000563,0
0.000837,0
0.000563,0
0.00084,0
0.000997,0
0.000563,0
0.00066,0
0.000563,0
0.000783,0
0.000701,0
0.000575,0
0.001098,0
0.000602,0
0.000842,0
0.00172,0
0.001847,0
0.001202,0
0.000563,0
0.000875,0
0.000637,0
0.000621,0
0.000597,0
0.000737,0
0.001493,0
0.000637,0
0.000563,0
0.001041,0
0.000572,0
0.000637,0
0.000638,0
0.000623,0
0.000646,0
0.00072,0
0.000563,0
0.000563,0
0.002944,0
0.002584,0
0.001991,0
0.000606,0
0.001298,0
0.00126,0
0.000563,0
0.000563,0
0.002694,0
0.001265,0
0.000563,0
0.000563,0
0.000563,0
0.003184,0
0.000596,0
0.000858,0
0.001899,0
0.000563,0
0.000563,0
0.000669,0
0.000563,0
0.002284,0
0.000563,0
0.001059,0
0.000852,0
0.000563,0
0.000563,0
0.000563,0
0.000563,0
0.000563,0
0.000563,0
0.000563,0
0.000563,0
0.000563,0
0.000563,0
0.000563,0
0.000563,0
0.000563,0
0.000563,0
0.003075,0
0.000563,0
0.000588,0
0.005021,0
0.000563,0
0.001711,0
0.000563,0
0.000563,0
0.000898,0
0.000637,0
0.000887,0
0.000563,0
0.000785,0
0.001267,0
0.000784,0
0.000753,0
0.007899,0
0.000809,0
0.000759,0
0.000729,0
0.000587,0
0.000612,0
0.001152,0
0.00077,0
0.000759,0
0.001092,0
0.000623,0
0.000828,0
0.001179,0
0.001663,0
0.000563,0
0.000623,0
0.000682,0
0.000563,0
0.003769,0
0.000589,0
0.0012,0
0.000563,0
0.000718,0
0.001605,0
0.000563,0
0.002619,0
0.001173,0
0.001201,0
0.000563,0
0.00069,0
0.000563,0
0.00059,0
0.000685,0
0.000563,0
0.000563,0
0.000563,0
0.008945,0
0.005675,0
0.000939,0
0.00599,0
0.000563,0
0.001459,0
0.001162,0
0.049158,1
0.002121,0
0.002314,0
0.003692,0
0.000638,0
0.000637,0
0.000563,0
0.000637,0
0.000563,0
0.001184,0
0.001754,0
0.000563,0
0.001066,0
0.000621,0
0.00081,0
0.000674,0
0.000563,0
0.000563,0
0.000563,0
0.000563,0
0.000563,0
0.000563,0
0.000563,0
0.000563,0
0.009148,0
0.005295,0
0.000563,0
0.000586,0
0.002088,0
0.000728,0
0.000805,0
0.000637,0
0.00071,0
0.000563,0
0.001488,0
0.00127,0
0.000825,0
0.000906,0
0.000616,0
0.000758,0
0.00069,0
0.000563,0
0.001112,0
0.001124,0
0.005165,0
